step : length : path
   1 :      0 : 0  
   2 :      9 : 0 9  
   3 :     15 : 0 9 20  
   4 :     24 : 0 9 20 7  
   5 :     27 : 0 9 20 7 37  
   6 :     38 : 0 9 20 7 37 12  
   7 :     60 : 0 9 20 7 37 12 26  
   8 :     64 : 0 9 20 7 37 12 26 4  
   9 :     68 : 0 9 20 7 37 12 26 4 16  
  10 :     76 : 0 9 20 7 37 12 26 4 16 8  
  11 :     85 : 0 9 20 7 37 12 26 4 16 8 27  
  12 :     99 : 0 9 20 7 37 12 26 4 16 8 27 39  
  13 :    108 : 0 9 20 7 37 12 26 4 16 8 27 39 28  
  14 :    114 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25  
  15 :    131 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24  
  16 :    153 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31  
  17 :    159 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3  
  18 :    164 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2  
  19 :    177 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6  
  20 :    186 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11  
  21 :    191 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38  
  22 :    197 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23  
  23 :    211 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36  
  24 :    246 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32  
  25 :    263 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1  
  26 :    267 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30  
  27 :    275 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19  
  28 :    287 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15  
  29 :    293 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5  
  30 :    300 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33  
  31 :    306 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34  
  32 :    311 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35  
  33 :    317 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14  
  34 :    324 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22  
  35 :    328 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22 21  
  36 :    331 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22 21 10  
  37 :    365 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22 21 10 18  
  38 :    372 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22 21 10 18 29  
  39 :    377 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22 21 10 18 29 13  
  40 :    422 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22 21 10 18 29 13 17  
  41 :    437 : 0 9 20 7 37 12 26 4 16 8 27 39 28 25 24 31 3 2 6 11 38 23 36 32 1 30 19 15 5 33 34 35 14 22 21 10 18 29 13 17 0  
